id,name,desc,choice,owner
1,中央广场,中央广场四周都是餐厅和店铺，道路两旁摆满了桌子。这里算是城市的核心吧，每年5月举办猫之庆典时，中央广场就被装点得格外漂亮，游客人数也增加不少。,东广场|move_to:2 西广场|move_to:3 前往曼奇肯大道|move_to:5 前往海滩|move_to:9 前往日晷丘陵|move_to:11 前往索马里大道|move_to:4,city
2,东广场,中央广场的东侧，这里有很多的空公寓，选择住在这里一定非常热闹,靠近空公寓|move_to:15 靠近空公寓|move_to:16 靠近空公寓|move_to:17 靠近空公寓|move_to:18 走进「西伯利亚」烘焙坊|move_to:19 离开|move_to:1,city
3,西广场,中央广场的西侧，有着很多的店铺，猫猫们懒洋洋的趴在店铺门口,走进蛋糕店|move_to:20 走进剧院|move_to:21 走进咖啡屋|move_to:22 走进可丽饼店|move_to:23 靠近空店铺|move_to:24 靠近空店铺|move_to:25 离开|move_to:1,city
4,索马里大道,从火车站到鱼市场附近，是交通要道。报社、市政府等建筑物都在火车站附近，很是热闹,前往中央广场|move_to:1 前往东方公园|move_to:7,city
5,曼奇肯大道,曼奇肯大道是主干道，左右两边都是经中央大桥出入城市的车辆。,前往中央大桥|move_to:14 前往中央广场|move_to:1 前往布利斯大道|move_to:13 前往哈瓦那大道|move_to:6,city
6,哈瓦那大道,在哈瓦那大道举行的猫咪马戏团街头表演很受欢迎！自由猫们穿梭在队伍里更是一绝,前往曼奇肯大道|move_to:5 前往东方公园|move_to:7 前往利普尔港|move_to:8,city
7,东方公园,城市东部的巨大的公园，白天参观天文台的人多，此时人声鼎沸；到了晚上就成了猫咪们的聚会地,前往哈瓦那大道|move_to:6,city
8,利普尔港,靠近利普尔港，还得气息就越浓厚，渔船一艘艘出现在眼前，充满港口风情,前往哈瓦那大道|move_to:6 前往索马里大道|move_to:4,city
9,海滩,从海滩上空可以俯瞰整个中央广场，还能看到远处的城堡，风景一绝,前往中央广场|move_to:1,city
10,日晷丘陵,和平公园坐落于此，通往日晷丘陵的阶梯两侧有很多精品店，很是热闹,前往杰克尼森林|move_to:11 前往中央广场|move_to:1,city
11,杰克尼森林,位于诺贝尔克城堡南方的一大片森林，已经被指定为了国家公园,前往日晷丘陵|move_to:10,city
12,诺贝尔克森林,由诺贝尔伯爵于14世纪兴建的城堡，至今仍保留着风貌，因此这座历史古城成了最著名的旅游经典,前往布利斯大道|move_to:13,city
13,布利斯大道,在坡度平缓的大道上，消防局、警察局坐落于此,前往诺贝尔克森林|move_to:12 前往曼奇肯大道|move_to:5,city
14,中央大桥,大概是出城的唯一通道，海关和猫猫卫兵在这里站岗,前往曼奇肯大道|move_to:5,city
15,空公寓,一间空置的公寓，除了四面白墙之外什么也没有,购买(1000火币)|buy_house 离开|move_to:1,city
16,空公寓,一间空置的公寓，除了四面白墙之外什么也没有,购买(1000火币)|buy_house 离开|move_to:1,city
17,空公寓,一间空置的公寓，除了四面白墙之外什么也没有,购买(1000火币)|buy_house 离开|move_to:1,city
18,空公寓,一间空置的公寓，除了四面白墙之外什么也没有,购买(1000火币)|buy_house 离开|move_to:1,city
